,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
0,CHEMBL92460,7.26003230324049,320.18886338799996,0.38095238095238093,3,0,4,3,24,5,0,29.270000000000003,0.6837582485588242,4.6726000000000045,2.029694342451556,0,1,1,2,1,3,0,1,1
1,CHEMBL433379,8.110026361596004,334.20451345199996,0.4090909090909091,3,0,4,3,25,5,0,29.270000000000003,0.6587217555917901,4.981020000000005,2.134053107278513,0,1,1,2,1,3,0,1,1
2,CHEMBL188823,8.240030142445693,364.215078136,0.43478260869565216,4,0,4,4,27,6,0,38.50000000000001,0.6175645791603549,4.989620000000005,2.2570305382742433,0,1,1,2,1,3,0,1,1
3,CHEMBL94186,8.14002155835798,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.50000000000001,0.646828867661836,4.681200000000005,2.139021497455669,0,1,1,2,1,3,0,1,1
4,CHEMBL93619,8.15002808767115,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.5,0.646828867661836,4.681200000000004,2.176852066886239,0,1,1,2,1,3,0,1,1
5,CHEMBL92736,8.550059011226661,377.210327104,0.391304347826087,5,1,4,5,28,6,0,58.370000000000005,0.6803010500515037,4.631000000000004,2.2086962876270135,0,1,1,2,1,3,0,1,1
6,CHEMBL92955,7.849857838151442,475.19296278800005,0.2962962962962963,6,1,5,7,34,8,0,75.44,0.36554536815442723,5.473400000000005,2.3092932462691707,0,1,1,3,1,4,0,1,1
7,CHEMBL93936,9.100015437450608,405.241627232,0.48,5,0,5,5,30,6,0,41.74000000000001,0.60359416443472,4.509200000000004,2.3478263404304975,0,2,2,2,1,3,0,2,2
8,CHEMBL420625,7.700057099977233,335.19976242,0.38095238095238093,4,2,4,4,25,5,0,55.29,0.7080936278303641,4.254800000000004,2.216920466945874,0,1,1,2,1,3,0,1,1
9,CHEMBL330004,7.299988937677888,398.099375456,0.38095238095238093,3,0,4,4,25,5,0,29.270000000000003,0.5726304244392155,5.435100000000005,2.191080550105955,0,1,1,2,1,3,0,1,1
10,CHEMBL92775,7.0,345.184112356,0.36363636363636365,4,0,4,4,26,5,0,53.06,0.6808603457794097,4.544280000000004,2.2978027162368875,0,1,1,2,1,3,0,1,1
11,CHEMBL92663,8.059981844992336,363.19467704,0.36363636363636365,5,2,4,5,27,6,0,72.36000000000001,0.7234518236914199,3.771500000000003,2.2273822422664526,0,1,1,2,1,3,0,1,1
12,CHEMBL93241,6.050000457140078,334.20451345199996,0.4090909090909091,3,0,4,3,25,6,0,29.270000000000003,0.630594362331588,5.062700000000005,2.0709312361766425,0,1,1,2,1,3,0,1,1
13,CHEMBL94059,5.589999287456538,322.168127944,0.35,4,0,4,4,24,5,0,38.5,0.7081288561333502,4.118800000000004,2.090978957836171,0,1,1,2,1,3,0,1,1
14,CHEMBL92629,6.4900049079866005,321.184112356,0.35,4,1,4,4,24,5,0,41.3,0.7662222197995152,4.151900000000003,2.068784727066941,0,1,1,2,1,3,0,1,1
15,CHEMBL328102,7.0,336.16601976799996,0.38095238095238093,2,0,4,3,24,5,0,16.130000000000003,0.6410474098351782,5.141100000000005,2.1743808809130964,0,1,1,2,1,3,0,1,1
16,CHEMBL92142,6.6599923820033275,330.209598832,0.34782608695652173,2,0,4,2,25,5,0,16.130000000000003,0.6483634581037913,5.079600000000005,1.973400774638181,0,1,1,2,1,3,0,1,1
17,CHEMBL92958,6.919987152892072,319.20484780000004,0.38095238095238093,3,1,4,3,24,5,0,31.92,0.7552858605068138,4.407700000000004,2.1147789578361706,0,1,1,2,1,3,0,1,1
18,CHEMBL329231,9.240030142445693,389.21032710400004,0.4166666666666667,5,1,5,5,29,5,0,58.370000000000005,0.6950786465626431,4.557300000000004,2.521913937621404,0,2,2,2,1,3,0,1,1
