,molecule_chembl_id,Ki,units,data_validity_comment,max_phase,smiles
0,CHEMBL92460,54.95,nM,,,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
1,CHEMBL433379,7.762,nM,,,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
2,CHEMBL188823,5.754,nM,,,COc1cc2onc(CCC3CCN(Cc4ccccc4)CC3)c2cc1C
3,CHEMBL94186,7.244,nM,,,COc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
4,CHEMBL93619,7.079,nM,,,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12
5,CHEMBL92736,2.818,nM,,,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
6,CHEMBL92955,14.13,nM,,,O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
7,CHEMBL93936,0.7943,nM,,,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
8,CHEMBL420625,19.95,nM,,,Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
9,CHEMBL330004,50.12,nM,,,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
10,CHEMBL92775,100.0,nM,,,N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
11,CHEMBL92663,8.71,nM,,,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
12,CHEMBL93241,891.25,nM,,,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1
13,CHEMBL94059,2570.4,nM,,,c1ccc(CN2CCC(COc3noc4ccccc34)CC2)cc1
14,CHEMBL92629,323.59,nM,,,c1ccc(CN2CCC(CNc3noc4ccccc34)CC2)cc1
15,CHEMBL328102,100.0,nM,,,c1ccc(CN2CCC(CCc3nsc4ccccc34)CC2)cc1
16,CHEMBL92142,218.78,nM,,,c1ccc(CN2CCC(CCc3nccc4ccccc34)CC2)cc1
17,CHEMBL92958,120.23,nM,,,c1ccc(CN2CCC(CCc3n[nH]c4ccccc34)CC2)cc1
18,CHEMBL329231,0.5754,nM,,,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
19,CHEMBL328468,0.955,nM,,,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
20,CHEMBL426441,0.4786,nM,,,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21
21,CHEMBL95020,3.631,nM,,,O=C1Cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)noc23)N1
22,CHEMBL185799,251.19,nM,,,COc1cc2c(cc1OC)C(=O)C(C1CC[N+](C)(Cc3ccccc3)CC1)=C2
23,CHEMBL186144,7.943,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
24,CHEMBL361869,42.66,nM,,,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3O)sc2cc1OC
25,CHEMBL189283,380.19,nM,,,COc1cc2cc(C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
26,CHEMBL362711,109.65,nM,,,COc1cc2cc(C(=O)CC3CCCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
27,CHEMBL185976,120.23,nM,,,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3OC)sc2cc1OC
28,CHEMBL188325,524.81,nM,,,COc1cc2cc(C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
29,CHEMBL187812,19498.45,nM,,,COc1cc2cc(C3CC[N+](C)(Cc4ccccc4)CC3O)sc2cc1OC
30,CHEMBL191729,2691.53,nM,,,COc1cc2cc(C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
31,CHEMBL364125,52.48,nM,,,COCC[N+]1(C)CCCC(C(=O)c2cc3cc(OC)c(OC)cc3s2)CC1
32,CHEMBL610243,32.36,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[I-]
33,CHEMBL372491,28.18,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC
34,CHEMBL364585,79.43,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC
35,CHEMBL188917,389.05,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC
36,CHEMBL188338,1000.0,nM,,,COc1cc2cc(C(=O)C3CCC[N+](C)(CC#N)CC3)sc2cc1OC
37,CHEMBL366114,891.25,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](C)cc1)C2
38,CHEMBL188753,281.84,nM,,,CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
39,CHEMBL189122,218.78,nM,,,C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
40,CHEMBL189517,109.65,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CC3)cc1)C2
41,CHEMBL365904,39.81,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CCC3)cc1)C2
42,CHEMBL186264,7.079,nM,,,CCOCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
43,CHEMBL187818,2.57,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccc(F)cc3)cc1)C2
44,CHEMBL188011,1000.0,nM,,,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)C3Cc4cc(OC)c(OC)cc4S3)cc2)cc1
45,CHEMBL362752,6.026,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccsc3)cc1)C2
46,CHEMBL610242,4.467,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2.[I-]
47,CHEMBL86031,100.0,nM,,,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCCO3)CC1
48,CHEMBL313231,41.69,nM,,,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCO3)CC1
49,CHEMBL313582,138.04,nM,,,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCCCO3)CC1
50,CHEMBL87823,50.12,nM,,,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1
51,CHEMBL432376,120.23,nM,,,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC
52,CHEMBL87014,21.88,nM,,,Cc1cc(C(=O)CCC2CC[N+](C)(Cc3ccccc3)CC2)nn1-c1ccccc1
53,CHEMBL418955,8.318,nM,,,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
54,CHEMBL93123,9.333,nM,,,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
55,CHEMBL92463,25.7,nM,,,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
56,CHEMBL328715,812.83,nM,,,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1
57,CHEMBL362350,338.84,nM,,,C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21
58,CHEMBL359570,0.3311,nM,,-1.0,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
59,CHEMBL187603,190.55,nM,,,COc1cc2c(cc1OC)SC(C(=O)CC(O)C1CC[N+](C)(Cc3ccccc3)CC1)C2
60,CHEMBL360832,89.13,nM,,,COc1cc2c(cc1OC)SC(C(=O)CC1(O)CC[N+](C)(Cc3ccccc3)CC1)C2
61,CHEMBL186090,758.58,nM,,,COc1cc2c(cc1OC)SC(C(=O)CC1C=CC[N+](C)(Cc3ccccc3)CC1)C2
62,CHEMBL187591,30199.52,nM,,,COc1cc2c(cc1OC)SC(CC1CC[N+](C)(Cc3ccccc3)CC1)C2
63,CHEMBL188714,53.7,nM,,,COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1
64,CHEMBL187330,2570.4,nM,,,CCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
65,CHEMBL189774,30.2,nM,,,COCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
66,CHEMBL186042,4.571,nM,,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2
67,CHEMBL363455,239.88,nM,,,O=C(CCc1cc[n+](Cc2ccccc2)cc1)c1ccc2c(c1)OCO2
68,CHEMBL8320,955.0,nM,,,O=C1C=CC(=O)C=C1
69,CHEMBL364729,1670.0,nM,,,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl
70,CHEMBL192627,163.0,nM,,,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
